Tanggal,Customer,Kota,Nama Produk,Jumlah Terjual,Harga Satuan,Total Harga,Bulan
2025-05-19,PUKAT MAS**,AMBARAWA,STAND UP SIGN HOLDER F4,12,83500,1002000,2025-05
2025-05-17,"FOCUS,UNGARAN",UNGARAN,BOYKO D. BROSUR A6 + DECOVIL,6,28000,168000,2025-05
2025-05-17,"FOCUS,UNGARAN",UNGARAN,AC SELAIN KRYWN DILRG MSK,6,15000,90000,2025-05
2025-05-17,"FOCUS,UNGARAN",UNGARAN,ACRILIC KASIR,6,15000,90000,2025-05
2025-05-17,"FOCUS,UNGARAN",UNGARAN,STAND UP SIGN HOLDER A5,12,44700,536400,2025-05
2025-05-17,"FOCUS,UNGARAN",UNGARAN,STAND UP SIGN HOLDER 10X12,12,23000,276000,2025-05
2025-05-17,PENA $,SEMARANG,ACRILIC TOILET,3,15000,45000,2025-05
2025-05-17,PENA $,SEMARANG,ACR. DILARANG.P.DPINTU,3,15000,45000,2025-05
2025-05-17,PENA $,SEMARANG,ACRILIC BUKA-TUTUP FORMAL,3,35300,105900,2025-05
2025-05-17,PENA $,SEMARANG,ACR.D.MEROKOK/NO SMOKING,3,15000,45000,2025-05
2025-05-17,PENA $,SEMARANG,ACRILIC KASIR,3,15000,45000,2025-05
2025-05-17,PENA $,SEMARANG,ACRILIC EXIT,3,15000,45000,2025-05
2025-05-17,PENA $,SEMARANG,ACRILIC T/D PUSH PULL [SET],3,18500,55500,2025-05
2025-05-17,PENA $,SEMARANG,ACRILIC NAME PLATE 7 X 30,6,29300,175800,2025-05
2025-05-17,PENA $,SEMARANG,LEAN SIGN HOLDER A5,6,41800,250800,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BE HIMBAUAN,3,15000,45000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BE MUSHOLLA,3,15000,45000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BE STAFF ONLY,3,15000,45000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BE ARAH KIBLAT (KIRI) T/D,3,10500,31500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BE ARAH KIBLAT (KANAN) T/D,3,10500,31500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BE TARIK DORONG,3,18500,55500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACRILIC BOYKO HIMBAUAN TOILET,3,15000,45000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR BUKA-TUTUP+RANTAI,5,35300,176500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACRILIC MUSHOLA [FORMAL],3,15000,45000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACRILIC T/D PUSH PULL [SET],5,18500,92500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR L/G BUKA-TUTUP +RANTAI,3,24000,72000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACRILIC NO RUMAH 1,4,13600,54400,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR ARAH KIBLAT (KANAN) T/D,3,10500,31500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR ARAH KIBLAT (KIRI) T/D,3,10500,31500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR MUSHOLLA T/D,3,10500,31500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR STAFF ONLY T/D,3,10500,31500,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,ACR CCTV T/D,4,10500,42000,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,STAND UP SIGN HOLDER A5,18,44700,804600,2025-05
2025-05-17,BAROKAH-UNG **,UNGARAN,LEAN SIGN HOLDER A5,12,41800,501600,2025-05
2025-05-16,CASH (SHOPEE 2),,BOYKO DISPLAY BROSUR MDF A5,1,27800,27800,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 0,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 1,12,14400,172800,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 2,12,14400,172800,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 3,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 5,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 7,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 8,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH 9,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH A,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH B,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH E,6,14400,86400,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH I,5,14400,72000,2025-05
2025-05-17,AJM STATIONERY 2**,SEMARANG,ACRILIC NO RUMAH J,6,14400,86400,2025-05
2025-05-19,ANDRE BU,SURABAYA,ACRILIC TOILET,12,13300,159600,2025-05
2025-05-19,ANDRE BU,SURABAYA,ACR.RUANG BEBAS ASAP ROKOK,12,13300,159600,2025-05
2025-05-19,ANDRE BU,SURABAYA,ACRILIC BUKA-TUTUP FORMAL,12,30800,369600,2025-05
2025-05-19,ANDRE BU,SURABAYA,ACR.ALAS KAKI HRP DILEPAS,24,13300,319200,2025-05
2025-05-17,OBET**,KUDUS,ACRILIC NAME PLATE B/B 7 X 30,30,37500,1125000,2025-05
2025-05-17,AHABBA AMBARAWA,KAB. AMBARAWA,ACRILIC NAME PLATE B/B 7X20,24,28200,676800,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,BOXFILE MEDIUM BF113 BLACK,6,17000,102000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,BOXFILE MEDIUM BF115 RED,6,17000,102000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,KLIB BOYKO LETTERING SERIES,12,11100,133200,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR BE JAGALAH KEBERSIHAN,6,11500,69000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR BE DLRG PARKIR,6,11500,69000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR BE GESER (KANAN),5,7500,37500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR.RUANG BEBAS ASAP ROKOK,3,11500,34500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR. JAGALAH KEBERSIHAN,9,11500,103500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC BUKA-TUTUP FORMAL,15,26000,390000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,AC SELAIN KRYWN DILRG MSK,15,11500,172500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR.ALAS KAKI HRP DILEPAS,3,11500,34500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC MUSHOLA [FORMAL],12,11500,138000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET (KANAN),3,11500,34500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET (KIRI),3,11500,34500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC T/D PUSH PULL [SET],22,13500,297000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR ARAH KIBLAT (KIRI) T/D,3,7500,22500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR GESER HORIZON (KIRI) T/D,17,7500,127500,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR RECEPTION T/D,12,7500,90000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,DUAL BOARD BOYKO ( BARU),6,31300,187800,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC NAME PLATE LEAN 7X15,6,11000,66000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,NAME PLATE MEIKO 8X30BB,18,17000,306000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,STAND UP SIGN HOLDER 10X12,6,13000,78000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,STAND UP SIGN 10X15,24,21200,508800,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,LEAN SIGN HOLDER A5,6,24500,147000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,LEAN SIGN HOLDER 10X12,6,12600,75600,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,KLIB BOYKO LETTERING SERIES,4,11100,44400,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,BOYKO DB WALL A5,12,26400,316800,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TEMPAT WUDHU,6,11500,69000,2025-05
2025-05-17,PADMA UTAMA JADI CV,SEMARANG,ACR.D.MEROKOK/NO SMOKING,12,11500,138000,2025-05
2025-05-19,KONDANG***,TEMANGGUNG,ACRILIC TOILET,6,15000,90000,2025-05
2025-05-19,KONDANG***,TEMANGGUNG,ACR BUKA-TUTUP+RANTAI,3,35300,105900,2025-05
2025-05-19,KONDANG***,TEMANGGUNG,ACRILIC ANAK PANAH [SET],3,18500,55500,2025-05
2025-05-19,KONDANG***,TEMANGGUNG,ACRILIC TEMPAT WUDHU,6,15000,90000,2025-05
2025-05-19,KONDANG***,TEMANGGUNG,ACR.D.MEROKOK/NO SMOKING,6,15000,90000,2025-05
2025-05-19,"RAKYAT,TGL",TEGAL,STAND UP HORISONTAL F4,12,83500,1002000,2025-05
2025-05-19,"RAKYAT,TGL",TEGAL,STAND UP HORISONTAL A4,12,83500,1002000,2025-05
2025-05-20,MEGA MITRA CAMPUS*,SEMARANG,BOXFILE MEDIUM BF113 BLACK,12,22000,264000,2025-05
2025-05-20,MEGA MITRA CAMPUS*,SEMARANG,BOXFILE MEDIUM BF115 RED,12,22000,264000,2025-05
2025-05-19,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE 7 X 15,62,17000,1054000,2025-05
2025-05-19,CASH (TOKO PEDIA),,BOXFILE MEDIUM BF113 BLACK,24,29400,705600,2025-05
2025-05-19,CASH (TOKOPEDIA 2),,PAPAN METERAN NUMERIC BOYKO,1,63500,63500,2025-05
2025-05-26,CASH (SHOPEE 2),,PAPAN METERAN NUMERIC BOYKO,1,63500,63500,2025-05
2025-05-26,CASH (SHOPEE 2),,ACRILIC BELL 10X15,1,13600,13600,2025-05
2025-05-20,SUMUR BOTO $,SEMARANG,BOXFILE MEDIUM BF113 BLACK,4,22000,88000,2025-05
2025-05-20,SUMUR BOTO $,SEMARANG,BOXFILE MEDIUM BF115 RED,4,22000,88000,2025-05
2025-05-20,SUMUR BOTO $,SEMARANG,ACRILIC NO RUMAH 1,6,13600,81600,2025-05
2025-05-20,SUMUR BOTO $,SEMARANG,ACRILIC NO RUMAH 6,6,13600,81600,2025-05
2025-05-20,SUMUR BOTO $,SEMARANG,ACRILIC NO RUMAH 9,6,13600,81600,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR.D.MEROKOK/NO SMOKING,3,11500,34500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR. TEMPAT WUDHU WANITA,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC JALUR EVAKUASI (KANAN),6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC JALUR EVAKUASI (KIRI),6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BUKA SHOLAT+RANTAI,6,26000,156000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC CCTV 20 X 15,9,14600,131400,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR DLRG BUANG PUNTUNG KETOILT,2,11500,23000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR JGLH KBRSIHAN T/D,3,7500,22500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR KASIR T/D,6,7500,45000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR TOILET T/D,6,7500,45000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR TEMPAT WUDHU T/D,4,7500,30000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR MUSHOLLA T/D,3,7500,22500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR STAFF ONLY T/D,6,7500,45000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR GESER HORIZON (KANAN) T/D,9,7500,67500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR GESER HORIZON (KIRI) T/D,1,7500,7500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR CCTV T/D,6,7500,45000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC NAME PLATE LEAN 7X10,18,8000,144000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,DUAL BOARD BOYKO ( BARU),6,31300,187800,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,BOYKO D. BROSUR A6 + DECOVIL,12,20000,240000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,BOYKO D. BROSUR A5 + DECOVIL,12,24500,294000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE OPEN-CLOSE RANTAI,4,26000,104000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE KASIR,3,11500,34500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE MUSHOLLA,13,11500,149500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE STAFF ONLY,15,11500,172500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE TOILET WNT T/D,3,7500,22500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE NO SMOKING T/D,3,7500,22500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE ARAH KIBLAT (KANAN) T/D,9,7500,67500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE GESER (KANAN),1,7500,7500,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE TRMKSH TDK PRKR FOL,3,26800,80400,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BE DRLG PARKIR FOL,3,26800,80400,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR.D.MEROKOK/NO SMOKING,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC CCTV 20 X 15,3,14600,43800,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC NAME PLATE 7 X 10,6,8200,49200,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,STAND UP SIGN 10X15,18,21200,381600,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR NOMER MEJA ALAS SEGITIGA,24,7150,171600,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,LEAN SIGN HOLDER A5,6,24500,147000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC TOILET,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR. DILARANG.P.DPINTU,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR. JAGALAH KEBERSIHAN,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC GESER [SET],6,18500,111000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC BUKA-TUTUP FORMAL,5,35300,176500,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC OPEN-CLOSE FORMAL,5,35300,176500,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,AC SELAIN KRYWN DILRG MSK,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR.ALAS KAKI HRP DILEPAS,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR.ISTIRAHAT BUKA +RANTAI,3,35300,105900,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC TOILET PRIA,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC TOILET WANITA,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC LADIES/WANITA 10X15,3,13600,40800,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC GENT/PRIA 10X15,3,13600,40800,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC BELL 10X15,3,13600,40800,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR BUANG SMPAH PD TMPT,3,15000,45000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC T/D PUSH PULL [SET],6,18500,111000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR BUKA SHOLAT+RANTAI,3,35300,105900,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRILIC CCTV 20 X 15,3,21700,65100,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR L/G BUKA-TUTUP +RANTAI,3,24000,72000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACRYLIC DILARANG MEROKOK 10X15,3,13600,40800,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,DILRG BUANG SMPH TOILET 10X15,3,13600,40800,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR MATIKAN KERAN AIR 10X15,3,13600,40800,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR JGLH KBRSIHAN T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR ARAH KIBLAT (KANAN) T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR ARAH KIBLAT (KIRI) T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR KASIR T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR TOILET T/D,3,10500,31500,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR TOILET PRIA T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR TOILET WANITA T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR BATAS SUCI T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR MUSHOLLA T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR STAFF ONLY T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR DILRG MASUK T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR CCTV T/D,6,10500,63000,2025-05
2025-05-22,FAMILY AZ-ZAHRA,KARAWANG,ACR DILRG MEROKOK T/D,6,10500,63000,2025-05
2025-05-21,KAYANA ATK,DENPASAR,ACRILIC T/D PUSH PULL [SET],12,18500,222000,2025-05
2025-05-21,KAYANA ATK,DENPASAR,ACR L/G BUKA-TUTUP +RANTAI,12,24000,288000,2025-05
2025-05-21,KAYANA ATK,DENPASAR,BOYKO RAK SPIDOL ACRILIC,3,760000,2280000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC BOYKO HIMBAUAN TOILET,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC ANAK PANAH [SET],6,13500,81000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TEMPAT WUDHU,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRLIC BATAS SUCI,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC ARAH KIBLAT,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC STAFF ONLY,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR.ALAS KAKI HRP DILEPAS,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET PRIA,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET WANITA,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR.D.MEROKOK/NO SMOKING,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC MUSHOLA [FORMAL],12,11500,138000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR BUANG SMPAH PD TMPT,6,11500,69000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,DILRG PARKIR DPN PNT UK.FOLIO,9,26800,241200,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR TITIK KUMPUL UK.FOLIO,3,26800,80400,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR PARKING AREA UK.FOLIO,3,26800,80400,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACRILIC T/D PUSH PULL [SET],12,13500,162000,2025-05
2025-05-20,PADMA UTAMA JADI CV,SEMARANG,ACR DLRG BUANG PUNTUNG KETOILT,4,11500,46000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,BOX FILE JUMBO BF 303 HITAM,17,26000,442000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,KLIB BOYKO LETTERING SERIES,36,12700,457200,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,DUAL BOARD BOYKO ( BARU),3,33600,100800,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,BOYKO DB WALL A5,6,30300,181800,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,BOYKO PENCASE MIKA JARING,60,7300,438000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,PENCIL CASE MOTIF TIMBUL,36,5900,212400,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR BE JAGALAH KEBERSIHAN,4,13000,52000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR BE DORONG,3,9000,27000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR BE CCTV 20X15,3,18400,55200,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR BE TARIK DORONG,6,16000,96000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC TOILET,12,13000,156000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC RUANGAN BER-AC,6,13000,78000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR.RUANG BEBAS ASAP ROKOK,12,13000,156000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR. JAGALAH KEBERSIHAN,18,13000,234000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC GESER [SET],30,16000,480000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC BUKA-TUTUP FORMAL,9,30000,270000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRLIC BATAS SUCI,7,13000,91000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC ARAH KIBLAT,4,13000,52000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC STAFF ONLY,5,13000,65000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,AC SELAIN KRYWN DILRG MSK,10,13000,130000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC TAMU HRP LAPOR SATPAM,3,13000,39000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC TOILET PRIA,3,13000,39000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC TOILET WANITA,6,13000,78000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC GENT/PRIA 10X15,6,11700,70200,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR.D.MEROKOK/NO SMOKING,5,13000,65000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC OFFICE/KANTOR,20,13000,260000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC KASIR,9,13000,117000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC FREE- WIFI,11,13000,143000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR BUDAYAKAN MENGANTRI,4,13000,52000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,DILRG MEMBWA MAKANAN DR LUAR,9,13000,117000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR.PINTU HRP DITTUP KMBLI,18,13000,234000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC TOILET (KANAN),6,13000,78000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC T/D PUSH PULL [SET],12,16000,192000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR. TEMPAT WUDHU PRIA,10,13000,130000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR. TEMPAT WUDHU WANITA,10,13000,130000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC JALUR EVAKUASI (KANAN),12,13000,156000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRILIC JALUR EVAKUASI (KIRI),12,13000,156000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR BUKA SHOLAT+RANTAI,3,30000,90000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACRYLIC DILARANG MEROKOK 10X15,3,11700,35100,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,DILRG BUANG SMPH TOILET 10X15,3,11700,35100,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR MATIKAN KERAN AIR 10X15,6,11700,70200,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR JGLH KBRSIHAN T/D,9,9000,81000,2025-05
2025-05-23,YOGYA DEPO,YOGYAKARTA,ACR ARAH KIBLAT (KANAN) T/D,3,9000,27000,2025-05
